rank_diff,elo_diff,grass_win_pct_diff,form5_grass_diff,form10_all_diff,rest_days_diff,month_sin,month_cos,is_wimbledon,round_encoded,label,year,tourney_name,winner_name,loser_name
10.0,-33.25621649200616,-0.07499999999999996,-0.19999999999999996,-0.07499999999999996,0.0,1.2246467991473532e-16,-1.0,0,6,1,2024,queen's club,tommy paul,sebastian korda
75.0,168.76729035726657,0.19117647058823528,0.2,0.3,-707.0,1.2246467991473532e-16,-1.0,1,0,0,2014,wimbledon,dancevic f.,karlovic i.
108.0,170.48406866671985,0.6375,0.6,0.7,10.0,1.2246467991473532e-16,-1.0,1,0,1,2015,wimbledon,karlovic i.,ymer e.
-96.0,-106.09461422683057,0.12365591397849462,-0.0,0.13333333333333341,-0.0,-0.4999999999999997,-0.8660254037844388,1,0,0,2007,wimbledon,gasquet r.,tsonga j.w.
43.0,363.4257491796293,0.4293785310734463,0.19999999999999996,0.4,-358.0,1.2246467991473532e-16,-1.0,1,0,1,2012,wimbledon,murray a.,davydenko n.
36.0,154.3464689006189,0.14193548387096777,-0.20000000000000007,0.09999999999999998,8.0,1.2246467991473532e-16,-1.0,1,0,0,2022,wimbledon,cressy m.,auger-aliassime f.
274.0,99.77676833136502,0.0,0.5,0.19999999999999996,0.0,1.2246467991473532e-16,-1.0,1,0,1,2022,wimbledon,fritz t.,gray a.
-13.0,-239.71705700805524,-0.6901408450704225,-0.4,-0.5,0.0,1.2246467991473532e-16,-1.0,1,0,1,2021,wimbledon,ymer m.,tsonga j.w.
-6.0,-1.6127266528878863,-0.09496981891348089,-0.0,0.09999999999999998,-0.0,-0.4999999999999997,-0.8660254037844388,1,0,0,2012,wimbledon,tsonga j.w.,fish m.
4.0,12.97494376355462,-0.05982905982905978,-0.0,-0.0,-0.0,1.2246467991473532e-16,-1.0,1,0,0,2003,wimbledon,mirnyi m.,ljubicic i.
1.0,145.68366391720747,0.6,0.6,0.5,339.0,1.2246467991473532e-16,-1.0,0,0,1,2022,mercedes cup,kyrgios n.,lehecka j.
-43.0,-531.0565451671566,-0.5456110154905336,-0.8,-0.7,4.0,-0.4999999999999997,-0.8660254037844388,1,0,0,2017,wimbledon,djokovic n.,klizan m.
-10.0,-29.949999119828817,-0.5,-0.4,-0.5,364.0,1.2246467991473532e-16,-1.0,1,0,0,2002,wimbledon,blake j.,zabaleta m.
-69.0,-6.803001912070613,-0.01868905742145177,-0.0,-0.09999999999999998,-0.0,1.2246467991473532e-16,-1.0,1,0,0,2011,wimbledon,lopez f.,schuettler r.
88.0,96.36995522851453,0.1071428571428571,0.30000000000000004,0.09999999999999998,0.0,-0.4999999999999997,-0.8660254037844388,1,0,1,2019,wimbledon,medvedev d.,popyrin a.
